ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
A0, write_request_sizes, 3, Accumulator, 1244723355, 0, 2628, 35760, 240, 4, 64
A0, split_read_requests, 3, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 3, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, flush_requests, 3, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fence_requests, 3, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, no_ops, 3, Accumulator, 1244723355, 0, 2512, 2512, 2512, 1, 1
A0, instruction_count, 3, Accumulator, 1244723355, 0, 3470, 3470, 3470, 1, 1
A0, cycles, 3, Accumulator, 1244723355, 0, 2861432, 2861432, 2861432, 1, 1
A0, active_cycles, 3, Accumulator, 1244723355, 0, 6055, 6055, 6055, 1, 1
A0, fp_sp_ins, 3, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 3, Accumulator, 1244723355, 0, 7, 7, 7, 1, 1
A0, fp_sp_simd_ins, 3, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 3, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, fp_sp_scalar_ins, 3, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 3, Accumulator, 1244723355, 0, 6, 6, 6, 1, 1
A0, fp_sp_ops, 3, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 3, Accumulator, 1244723355, 0, 0, 0, 6, 0, 0
A0, read_requests, 4, Accumulator, 1244723355, 0, 467, 467, 467, 1, 1
A0, write_requests, 4, Accumulator, 1244723355, 0, 150, 150, 150, 1, 1
A0, read_request_sizes, 4, Accumulator, 1244723355, 0, 4211, 52067, 467, 1, 16
A0, write_request_sizes, 4, Accumulator, 1244723355, 0, 1852, 25776, 150, 4, 16
A0, split_read_requests, 4, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, split_write_requests, 4, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, flush_requests, 4, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fence_requests, 4, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, no_ops, 4, Accumulator, 1244723355, 0, 1973, 1973, 1973, 1, 1
A0, instruction_count, 4, Accumulator, 1244723355, 0, 2590, 2590, 2590, 1, 1
A0, cycles, 4, Accumulator, 1244723355, 0, 2861432, 2861432, 2861432, 1, 1
A0, active_cycles, 4, Accumulator, 1244723355, 0, 4053, 4053, 4053, 1, 1
A0, fp_sp_ins, 4, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 4, Accumulator, 1244723355, 0, 5, 5, 5, 1, 1
A0, fp_sp_simd_ins, 4, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 4, Accumulator, 1244723355, 0, 2, 2, 2, 1, 1
A0, fp_sp_scalar_ins, 4, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 4, Accumulator, 1244723355, 0, 3, 3, 3, 1, 1
A0, fp_sp_ops, 4, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 4, Accumulator, 1244723355, 0, 0, 0, 3, 0, 0
A0, read_requests, 5, Accumulator, 1244723355, 0, 476, 476, 476, 1, 1
A0, write_requests, 5, Accumulator, 1244723355, 0, 146, 146, 146, 1, 1
A0, read_request_sizes, 5, Accumulator, 1244723355, 0, 4255, 52307, 476, 1, 16
A0, write_request_sizes, 5, Accumulator, 1244723355, 0, 1836, 25712, 146, 4, 16
A0, split_read_requests, 5, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, split_write_requests, 5, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, flush_requests, 5, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fence_requests, 5, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, no_ops, 5, Accumulator, 1244723355, 0, 2031, 2031, 2031, 1, 1
A0, instruction_count, 5, Accumulator, 1244723355, 0, 2653, 2653, 2653, 1, 1
A0, cycles, 5, Accumulator, 1244723355, 0, 2861432, 2861432, 2861432, 1, 1
A0, active_cycles, 5, Accumulator, 1244723355, 0, 4204, 4204, 4204, 1, 1
A0, fp_sp_ins, 5, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 5, Accumulator, 1244723355, 0, 5, 5, 5, 1, 1
A0, fp_sp_simd_ins, 5, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 5, Accumulator, 1244723355, 0, 2, 2, 2, 1, 1
A0, fp_sp_scalar_ins, 5, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_scalar_ins, 5, Accumulator, 1244723355, 0, 3, 3, 3, 1, 1
A0, fp_sp_ops, 5, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ops, 5, Accumulator, 1244723355, 0, 0, 0, 3, 0, 0
A0, read_requests, 6, Accumulator, 1244723355, 0, 481, 481, 481, 1, 1
A0, write_requests, 6, Accumulator, 1244723355, 0, 146, 146, 146, 1, 1
A0, read_request_sizes, 6, Accumulator, 1244723355, 0, 4275, 52387, 481, 1, 16
A0, write_request_sizes, 6, Accumulator, 1244723355, 0, 1836, 25712, 146, 4, 16
A0, split_read_requests, 6, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, split_write_requests, 6, Accumulator, 1244723355, 0, 1, 1, 1, 1, 1
A0, flush_requests, 6, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fence_requests, 6, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, no_ops, 6, Accumulator, 1244723355, 0, 2065, 2065, 2065, 1, 1
A0, instruction_count, 6, Accumulator, 1244723355, 0, 2692, 2692, 2692, 1, 1
A0, cycles, 6, Accumulator, 1244723355, 0, 2861432, 2861432, 2861432, 1, 1
A0, active_cycles, 6, Accumulator, 1244723355, 0, 3973, 3973, 3973, 1, 1
A0, fp_sp_ins, 6, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_ins, 6, Accumulator, 1244723355, 0, 5, 5, 5, 1, 1
A0, fp_sp_simd_ins, 6, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
A0, fp_dp_simd_ins, 6, Accumulator, 1244723355, 0, 2, 2, 2, 1, 1
A0, fp_sp_scalar_ins, 6, Accumulator, 1244723355, 0, 0, 0, 0, 0, 0
